ID;COUNTRY;STATE;LAT;LONG;DAY;MONTH;YEAR
1;MX;Campeche;19.930023;-90.221494;7;9;2024
2;BR;Para;-3.421906;-47.932451;11;9;2024
3;GT;Peten;17.649528;-89.355643;10;3;2024
4;BR;Mato Grosso;-17.284517;-56.781981;18;7;2024
5;BR;Mato Grosso;-17.256548;-56.70703;17;7;2024
6;BR;Mato Grosso;-17.265908;-56.628586;16;7;2024
7;BR;Mato Grosso;-17.238388;-56.799247;17;7;2024
8;GT;Peten;17.261773;-89.262314;25;7;2024
9;GT;Peten;17.279645;-89.247287;19;7;2024
10;BR;Mato Grosso;-17.294656;-56.714626;16;7;2024
11;BR;Mato Grosso;-17.242521;-56.730942;16;7;2024
12;BR;Mato Grosso;-17.283331;-56.630021;16;7;2024
13;BR;Mato Grosso;-17.353275;-56.638646;18;7;2024
14;GT;Peten;17.281997;-90.149844;18;3;2024
15;GT;Peten;17.325928;-89.264284;27;5;2024
16;BR;Mato Grosso do Sul;-17.266674;-56.740402;12;4;2022
17;MX;Jalisco;19.53059;-104.873029;13;5;2024
18;CO;Santander;7.08775;-73.670233;21;8;2023
19;CO;Santander;7.0908;-73.6695;15;8;2023
20;CO;Santander;7.0908;-73.6695;21;8;2023
21;CO;Santander;7.08775;-73.670233;21;8;2023
22;CO;Santander;7.08723;-73.67059;21;7;2021
23;CO;Santander;7.0871;-73.671317;14;8;2023
24;CO;Santander;7.0871;-73.671317;15;8;2023
25;CO;Santander;7.0871;-73.671317;21;8;2023
26;CO;Santander;7.0871;-73.671317;21;8;2023
27;CO;Santander;7.08775;-73.670233;14;8;2023
28;CO;Santander;7.08775;-73.670233;15;8;2023
29;CO;Santander;7.0872;-73.67055;21;8;2023
30;CO;Santander;7.0872;-73.67055;21;8;2023
31;CO;Santander;7.0908;-73.6695;3;9;2022
32;CO;Santander;7.0908;-73.6695;23;9;2022
33;CO;Santander;7.0908;-73.6695;25;9;2022
34;CO;Santander;7.08723;-73.67059;19;4;2021
35;CO;Santander;7.08723;-73.67059;20;4;2021
36;CO;Santander;7.08723;-73.67059;20;4;2021
37;CO;Santander;7.08723;-73.67059;12;5;2021
38;CO;Santander;7.08723;-73.67059;18;5;2021
39;CO;Santander;7.0872;-73.67055;17;6;2023
40;CO;Santander;7.0872;-73.67055;13;7;2023
41;CO;Santander;7.0871;-73.671317;17;6;2023
42;CO;Santander;7.0871;-73.671317;13;7;2023
43;CO;Santander;7.08775;-73.670233;17;6;2023
44;CO;Santander;7.0908;-73.6695;20;7;2022
45;CO;Santander;7.0908;-73.6695;26;6;2022
46;CO;Santander;7.0908;-73.6695;26;6;2022
